(all) fucked up	(total) im Arsch
printing office	Buchdruckerei
printings	Drucke
printout	Ausdruck
printouts	Druckausgaben
prints	druckt
prior	früher
prior sale	Zwischenverkauf
prioress	Priorin
priorities	Vorrang
prioritize	prioritisieren
prioritized	prioritisierte
prioritizes	prioritisiert
prioritizing	prioritisierend
priority	Priorität
priority control	Vorrangsteuerung
priority processing	Vorrangverarbeitung
prism	Prisma
prismatic	prismatisch
prismatically	prismatische
prisms	Prismen
prison	Gefängnis
prison camp	Gefangenenlager
prison wardens	Aufsichtspersonal  (im Gefängnis)
prisoner	Gefangene
prisoners	Häftlinge
prisons	Gefängnisse
prissier	zimperlicher
prissiest	zimperlichste
prissily	zimperliche
prissiness	Zimperlichkeit
prissy	zimperlich
pristine	ursprünglich
pristinely	ursprüngliche
prithee	bitten
privacy	Datenschutz
privacy of letters	Briefgeheimnis
private	nicht öffentlich
private branch exchange	Nebenstellenanlage  (Telefon)
private first class	Gefreite  (Soldat)
private industry	Privatwirtschaft
private interest	Sonderinteresse
private lessons	Nachhilfeunterricht
private life	Privatleben
privately	privat
privately owned	in Privatbesitz
privateness	Alleinsein
privation	Mangel
prives	Preise
privilege	Privileg
privileged	bevorrechtigt
privileged instruction	privilegierter Befehl
privileging	privilegierend
privily	eingeweiht
privy	eingeweiht
privy council	Staatsrat
privy councillor	Geheimrat
prize	Belohnung
prize question	Preisfrage
prize winner	Preisträger
prized	schätzte
prizefight	Preisboxkampf
prizefighter	Berufsboxer
prizes	Belohnungen
prizing	schätzend
pro rata	verhältnismäßig
prob	Probe
probabilistic	wahrscheinlichen
probabilities	Wahrscheinlichkeiten
probability	wahrscheinlich
probability calculus	Wahrscheinlichkeitsrechnung
probable	mutmaßlich
probably	vermutlich
probagly	vermutlich
probate	gerichtliche Testamenteröffnung
probate court	Nachlassgericht
probated	bestätigte
probates	bestätigt
probating	bestätigend
probation	Bewährung
probation period	Bewährungsfrist
probational	Probe
probationary	bedingt freigelassen
probationary employee	Mitarbeiter  auf Probe
probationary employment	Anstellung  auf Probe
probationary period	Probezeit
probationer	Probekandidat
probative	als Beweise dienen
probative force	Beweiskraft
probatively	als Beweis dienen
probe	Probe
probe question	Ergänzungsfrage
probed	sondierte
prober	Untersucher
probiere try	Probation
probing	sondiert
probity	Redlichkeit
problem	Aufgabe
problem child	Sorgenkind
problem tracking	Problemverfolgung
problem-oriented	problemnah
problem-oriented language	problemorientierte Programmiersprache
problematic	problematisch
problematical	problematisch
problematically	problematische
problems	Probleme
proboscis	Rüssel
procedural	verfahrensorientiert
procedurally	verfahrensrechtliche
procedure	Ablauf
procedure for divestiture	Amtsenthebungsverfahren
procedure-oriented	verfahrensorientiert
procedures	Abläufe
proceed	weiter
proceeded	fortgefahren
proceeding	fortsetzend
proceedings	Fortschritte
proceeds	Erlös
process	Prozess
process computer	Prozessrechner
process control	Fertigungssteuerung
process engineering	Verfahrenstechnik
process interfacing	Prozesskopplung
process of fermentation	Gärungsprozess
process of measuring	Messprozess
process-oriented	prozessabhängig
processed	abgearbeitet
processed foodstuff	Nährmittel
processes	Abläufe
processes of fermentation	Gärungsprozesse
processible	verarbeitbar
processing	Bearbeitung
processing depth	Verarbeitungstiefe
processing machine	Arbeitsmaschine
processing of orders	Auftragsabwicklung
processing section	Verarbeitungsteil
processing time	Abarbeitungszeit
procession	Aufzug
processional	Prozessionsbuch
processor	Anlage
processors	Prozessoren
proclaim	proklamiere
proclaimed	ausgerufen
proclaiming	ausrufend
proclaims	proklamiert
proclamation	Bekanntmachung
proclamation of sentence	Urteilsverkündung
proclamations	Bekanntmachungen
proclivities	Neigungen
proclivity	Neigung
proconsul	Statthalter
procrastinated	zögerte
procrastinates	zögert
procrastinating	zögernd
procrastination	Verschleppung
procrastinator	Zauderer
procreated	erzeugte
procreates	erzeugt
procreating	erzeugend
procreation	Zeugung
procreative	zeugungsfähig
proctological	proktologisch
proctologist	Proktologe
proctology	Proktologie
proctor	Aufsichtsführende
proctored	beaufsichtigte
proctoring	beaufsichtigend
procurable	erhältlich
procuration	Vermittlung
procurator	Anwalt
procured	beschaffene
procured abortion	abgetrieben
procurement	Beschaffung
procurements	Besorgungen
procurer	Vermittler
procures	beschafft
procuring	beschaffend
procuring abortion	abtreibend
prod	stupse
prodded	gestupst
prodding	stupsend
prodigal	verschwenderisch
prodigalities	Verschwendungen
prodigality	Verschwendung
prodigally	verschwenderische
prodigals	Verschwender
prodigies	Wunderkinder
prodigious	wunderbar
prodigiously	wunderbare
prodigiousness	Großartigkeit
prodigy	Wunderkind
prods	stupst
produce	Gewachs
produce exchange	Warenbörse
produced	erwirtschaftete
producer	Hersteller
producer goods	Produktionsgüter
producer price	Erzeugerpreis
produces	erwirtschaftet
producible	herstellbar
producing	erwirtschaftend
product	Erzeugnis
product concept catalogue	Lastenheft
product liability	Produkthaftung
product rule	Produktregel  [math.]
production	Erzeugung
production car	Serienwagen
production costs	Produktionskosten
production director	Sendeleiter
production period	Produktionszeit
production plant	Fertigungsanlage
production programme	Produktionsprogramm
production run	Arbeitslauf
productive	ergiebig
productive investment	Vermögensanlage
productively	produktiv
productiveness	Ergiebigkeit
productivities	Leistungsfähigkeiten
productivity	Leistungsfähigkeit
products	Erzeugnisse
proem	Einleitung
proems	Einleitungen
prof	sicher
profanation	Entweihung
profanatory	profan
profane	entweihe
profaned	entweihte
profanely	weltlich
profaneness	Weltlichkeiten
profanes	entweiht
profaning	entweihend
profanity	Weltlichkeit
professed	erklärte
professes	erklärt
professing	erklärend
profession	Beruf
professional	professionell
professional association	Berufsgenossenschaft
professional blunder	Kunstfehler
professional hunter	Jägermeister
professional journal	Fachzeitschrift
professional training	Berufsausbildung
professionalism	Berufsausübung
professionally	beruflich
professions	Berufe
professor	Hochschullehrer
professorate	Professorenschaft
professorial	professorial
professorship	Lehrstuhl
proffered	angeboten
proffering	anbietend
profferred	angeboten
proffers	bietet an
proficiency	Beschlagenheit
proficient	tüchtig
proficiently	tüchtige
profile	Profil
profiled	profilierte
profiles	Profile
profiling	profilierend
profit	Gewinn
profit and income tax	Erwerbssteuer
profit and loss account	Erfolgsrechnungen
profit margin	Gewinnspanne
profit sharing	Gewinnbeteiligung
profit warning	Gewinnwarnung  (Börse)
profitabilities	Rentabilitäten
profitability	Rentabilität
profitable	nutzbringend
profitableness	Einträglichkeit
profitably	nützlich
profited	profitierte
profiteer	Profitmacher
profiteering	Schiebergeschäfte
profiting	profitierend
profitless	profitlos
profits	Abwürfe
profitted	genützt
profitting	nützend
profligacy	Lasterhaftigkeit
profligate	verworfen
profligately	verworfene
profligates	Verschwender
profound	hintergründig
profound knowledge of the trade	fundierte Branchenkenntnisse
profoundly	tief
profoundness	Tiefe
profundities	Tiefen
profundity	Tiefe
profuse	freigebig
profusely	reichlich
profuseness	Verschwendung
profusion	Überfluss
profusions	Überflüsse
progenies	Früchte
progenitor	Stammvater
progeny	Frucht
prognoses	Vorhersagen
prognosis	Prognose
prognostic	prognostisch
prognosticates	sagte voraus
prognostication	Voraussage
prognosticator	Prognostiker
program	Programm
program branch	Programmzweig
program control	Programmsteuerung
program counter	Befehlszähler
program dependent	programmabhängig
program description	Programmbeschreibung
program development system	Programmentwicklungssystem
program execution	Programmausführung
program flow chart	Programmablaufplan  (PAP)
program identification	Programmkennzeichnung
program independent	programmunabhängig
program interface	Programmschnittstelle
program interrupt	Programmunterbrechung
program jump	Programmverzweigung
program language	Programmiersprache
program library	Programmbibliothek
program linkage	Programmverknüpfung
program loop	Programmschleife
program maintenance	Programmpflege
program mode	Programmzustand
program modification	Programm-Modifikation
program module	Programmbaustein
program relocation	Programmverschiebung
program run	Programmlauf
program state	Programmzustand
program step	Programmschritt
program translation	Programmübersetzung
program-controlled	programmgesteuert
program-sensitive	programmabhängig
programed	programmierte
programing	programmierend
programm architecture	Programmstruktur
programmability	Programmierbarkeit
programmable	programmierbar
programme controlled	programmgesteuert
programme picture	Vorfilm
programme	Programm
programmed	programmiert
programmed learning	programmiertes Lernen
programmed stop	programmierter Halt
programmer	Programmierer
programmers	Programmierer
programming	Programierung
programming flowchart	Programmablaufplan
programming language	Programmiersprache
programs	Programme
progress	Fortschritt
progress of the art	technischer Fortschritt
progressed	fortgeschritten
progresses	Fortschritte
progressing	Fertigungssteuerung
progression	Fortschreiten
progressional	fortlaufend
progressive	fortschrittlich
progressive tax	(nach oben) gestaffelte Steuer
progressive taxation	Steuerprogression
progressively	fortschrittlich
progressiveness	Fortschrittlichkeit
prohibited	untersagte
prohibited area	Sperrgebiet
prohibiting	untersagend
prohibition	Verbot
prohibition sign	Verbotsschild
prohibitions	Untersagungen
prohibitive	ausschließend
prohibitively	verhindernde
prohibitory	verbietend
prohibitory duties	Sperrzölle
prohibitory duty	Sperrzoll
prohibits	untersagt
project	Entwurf
project engineer	Projektingenieur
project planning	Projektplanung
projected	geplant
projectile	Geschoss
projectiles	Geschosse
projecting	herausragend
projection	Projektion
projection room	Vorführraum
projectionist	Projektor
projective	vorspringend
projectively	vorspringende
projector	Projektor
projector table	Projektortisch
prolapse	prolabieren
prolapsed	prolabierte
prolapses	prolabiert
prolapsing	prolabierend
prolate	abgeplattet
proletarian	Proletarier
proliferated	wucherte
proliferates	wuchert
proliferating	wuchernd
proliferation	Fruchtbarkeit
proliferative	reiche
proliferous	produktiv
proliferously	produktiver
prolific	reich
prolifically	reicher
prolificness	Fruchtbarkeit
prolix	weitschweifig
prolixity	Weitschweifigkeit
prolixly	weitschweifig
prolog	Prolog
prologue	Prolog
prolongable	verlängernd
prolongate	verzögerte
prolongates	verlängert
prolongation	Verlängerung  (zeitlich)
prolonged	anhaltend
prolonging	verlängernd
prolongs	verlängert
prom	Ball
promenade	Gehweg
promenaded	promenierte
promenading	promenierend
prominence	Bedeutung
prominent	markant
prominently	prominent
promiscuity	Vermischtheit
promiscuous	verworren
promiscuously	verworren
promiscuousness	Verworrenheit
promise	Versprechen
promise of marriage	Eheversprechen
promise to marry	Heiratsversprechen
promise to pay	Zahlungsversprechen
promised	verheißene
promises	Versprechen
promising	aussichtsreich
promisingly	vielversprechende
promissory	Eigenwechsel
promissory note	Eigenwechsel
promontory	Vorgebirge
promotable	beförderlich
promoted	beförderte
promoter	Beförderer
promotes	befördert
promoting	befördernd
promotion	Förderung
promotion prospects	Aufstiegschancen
promotion tie	Aufstiegsspiel
promotional	Reklame fördernd
prompt	Anforderungszeichen
prompt box	Souffleurkasten
prompted	abgefragt
prompter	Souffleur
promptest	promteste
prompting	Antrieb
promptly	bereit
promptness	Bereitwilligkeit
prompts	fragt
proms	Bälle
promulgated	verkündete
promulgates	verkündet
promulgating	verkündend
promulgation	Verhängung
prone	anfällig
proneness	Neigung
pronenesses	Neigungen
prong	Zacke
pronged	zackig
prongs	Zacken
pronk	Zinke
pronoun	Fürwort
pronounceable	aussprechbar
pronounced	angekündigt
pronouncement	Äußerung
pronounces	kündigt an
pronouncing	ankündigend
pronouns	Pronomen
pronto	sofort
pronunciation	Aussprache
pronunciations	Aussprachen
proof	beständig
proof copy	Probedruck
proof load	Probebelastung
proof of identity	Identitätsnachweis
proof of the truth	Wahrheitsbeweis
proof test	Abnahmeprüfung
proof total	Prüfsumme
proofed	festgemacht
proofread	gründlich lesen
proofreader	Korrektor
proofreading	Korrekturlesen
proofs of identity	Identitätsnachweise
prop	Stütze
propagandist	Propagandist
propagandistic	propagandistisch
propagandistically	propagandistische
propagandized	propagierte
propagandizing	propagierend
propagated	verbreitet
propagated error	Fortpflanzungsfehler
propagates	verbreitet
propagating	verbreitend
propagation	Verbreitung
propagative	fortpflanzend
propagator	Verbreiter
propane	Propan
propellant	Treibstoff
propelled	vorangetrieben
propellent	Treibmittel
propeller	Propeller
propellers	Kardanwellen
propelling	Treib...
propelling charge	Treibladung
propelling pencil	Drehbleistift
propels	treibt
propensities	Neigungen
propensity	Neigung
proper	angemessen
proper fraction	echter Bruch
proper name	Eigenname
properly	echt
properness	Korrektheit
propertied	besitzend
properties	Eigenschaften
property	Besitz
property asset	Vermögenswert
property market	Immobilienmarkt
property master	Requisite  (Theater)
property tax	Vermögenssteuer
prophecies	Weissagungen
prophecy	Prophezeiung
prophesied	prophezeit
prophesies	prophezeit
prophesy	Voraussagen
prophesying	prophezeiend
prophet	Prophet
prophetess	Prophetin
prophetesses	Prophetinnen
prophetic	prophetisch
prophetical	prophetische
prophetically	prophetisches
prophets	Weissager
prophylactic	vorbeugend
prophylactic against	Vorbeugungsmaßnahmen
prophylactical	vorbeugend
prophylactically	vorbeugende
prophylaxis	Vorbeugungsmaßnahme
propinquities	Nähen
propinquity	Nähe
propitiated	stimmte günstig
propitiates	stimmt günstig
propitiating	günstig stimmend
propitiation	Versöhnung
propitiatory	versöhnende
propitious	gnädig
propitiously	gnädig
propitiousness	Günstigkeit
proponent	Befürworter
proportion	Anteil
proportional	proportional
proportional representation	Verhältniswahl
proportionalities	Verhältnismäßigkeiten
proportionality	Verhältnismäßigkeit
proportionally	proportional
proportionate	angemessen
proportionated	angemessene
proportionately	angemessenes
proportionates	proportioniert
proportionating	anmessend
proportioned	proportioniert
proportioning	proportionierend
proposal	Antrag
proposal of marriage	Heiratsantrag
proposals	Vorschläge
proposed	schlug vor
proposer	Antragsteller
proposes	schlägt vor
proposing	empfehlend
proposition	Satz  [math.]
propositional	verhältnismäßig
propositioning	anbietend
propositions	Angebote
propounded	legte vor
propounding	vorlegend
propounds	legt vor
propped	stützte
propping	stützend
proprietaries	Eigentümer
proprietary	Eigentum
proprietary article	Markenartikel
proprietary make	Markenfabrikat
proprietary right	Eigentumsrecht
proprietary rights	Eigentumsrechte
proprietor	Besitzer
proprietorship	Eigentum
propriety	Schicklichkeit
props	Fundus  (Theater)
propulsion	Antrieb
propulsive	vorwärtstreibend
proratable	aufteilbar
prorate	anteilsmäßig zuordnen
prorated	teilte zu
prorates	teilt zu
prorating	zuteilend
proration	Zuteilung
prorogued	vertagte
prorogues	vertagt
proroguing	vertagend
pros	Vorteile
prosaic	prosaisch
prosaically	prosaische
prosaicness	Alltäglichkeit
